technical_know_how,personal_traits,social_characteristics,motivating_factors
Strategic planners,Loner,Intolerance to diversity of opinion,Political support
Well-networked,Insensitive,Unlawful,Curiosity
Smart,Gullible,Rebellious,Need to Control others
Strategic planners,Risk-taker,Anti-establishment,"Concealed
existence"
Bully,Incited,Marginalised,Experimentation
Bully,Emotional,Need to outsmart others,"Enhancing self-
worth"
Skilful,Determined,Rebellious,Monetary Gain
Bully,Conviction in Violence,Low self-worth,Emotions
Strategic planners,Emotional,Marginalised,"Religious
fundamentalism"
Well-networked,Incited,Rebellious,Need to Control others
Smart,Selfish,Anti-establishment,Plain boredom
Bully,Coward,Social dissatisfaction,Risk tolerance
Resourceful,Control freak,Marginalised,Monetary Gain
Sharp (intelligent),Psychiatric conditions,Brain-washed,Thrill-seeking
Well-organized,Insensitive,Social dissatisfaction,Political support
Focussed,Strong-willed,Rebellious,Intolerance
Well-organized,Strong-willed,Lack Social skills,"Religious
fundamentalism"
Skilful,Coercive,Anti-establishment,Plain boredom
Smart,Inhuman Psyche,Low self-worth,"Greed (easy, quick money)"
Resourceful,Identity crisis,"Insufficient social
support",Lust
Sharp (intelligent),Risk-taker,"Insufficient social
support","Religious
fundamentalism"
Skilful,Vengeful,Anti-establishment,"Enhancing self-
worth"
Skilful,Aggressive,"Insufficient social
support","Religious
fundamentalism"
Resourceful,Risk-taker,Mass-destruction,Manipulate others
Well-trained,Identity crisis,Inferiority complex,Risk tolerance
Focussed,Secretive,Lack Social skills,No fear of punishment
Sharp (intelligent),Emotional,Anti-social,Experimentation
Focussed,Coercive,Inferiority complex,"Religious
fundamentalism"
Goal oriented,Aggressive,Radical,Lust
Well-networked,Aggressive,Low self-worth,Experimentation
Smart,Incited,Lack Social skills,"Concealed
existence"
Bully,Loner,Anti-establishment,"Religious
fundamentalism"
Skilful,Impatient,Misguided,Anger
Smart,Selfish,Radical,Risk tolerance
Sharp (intelligent),Emotional,Brain-washed,Plain boredom
Strategic planners,Chaotic state of mind,Anti-social,Lust
Strategic planners,Immoral/ Unethical,Anti-social,Disregard for law
Smart,Selfish,Socially inept,Need to Control others
Bully,Coward,Marginalised,Anger
Skilful,Coercive,Anti-social,Thrill-seeking
Smart,Inhuman Psyche,Rationalization,Plain boredom
Creative,Control freak,Brain-washed,Manipulate others
Well-organized,Identity crisis,Misguided,No fear of punishment
Well-networked,Determined,Broken homes/families,Curiosity
Opportunists,Vengeful,Intolerance to diversity of opinion,Plain boredom
Well trained,Identity crisis,Socially inept,Thrill-seeking
Strategic planners,Chaotic state of mind,Anti-establishment,Need to Control others
Focussed,Vengeful,Anti-social,"Religious
fundamentalism"
Focussed,Passionate,Broken homes/families,Experimentation
Well trained,Risk-taker,Reinforcement available,"Enhancing self-
worth"
Bully,Identity crisis,Anti-social,Lust
Focussed,Vengeful,Social dissatisfaction,Political support
Well-organized,Control freak,"Insufficient social
support",Curiosity
Creative,Insensitive,Brain-washed,Intolerance
Goal oriented,Strong-willed,Socially inept,Thrill-seeking
Goal oriented,Coercive,Rebellious,"Religious
fundamentalism"
Creative,Secretive,Mass-destruction,Need to Control others
Opportunists,Insensitive,Need to outsmart others,No fear of punishment
Resourceful,Gullible,Social dissatisfaction,Thrill-seeking
Well-trained,Inhuman Psyche,Marginalised,Thrill-seeking
Well-trained,Impatient,Marginalised,"Concealed
existence"
Well trained,Insensitive,Anti-establishment,"Greed (easy, quick money)"
Resourceful,Chaotic state of mind,Social dissatisfaction,Intolerance
Smart,Emotional,Inferiority complex,Risk tolerance
Strategic planners,"Psychologically
Deviant",Anti-social,Manipulate others
Sharp (intelligent),Emotional,Misguided,"Enhancing self-
worth"
Bully,Insensitive,Anti-establishment,Curiosity
Goal oriented,Risk-taker,Radical,Intolerance
Well-organized,Passionate,Need to outsmart others,Political support
Strategic planners,Strong-willed,Reinforcement available,"Enhancing self-
worth"
Opportunists,Conviction in Violence,Rebellious,Thrill-seeking
Smart,Selfish,Rebellious,Thrill-seeking
Focussed,Determined,Inferiority complex,Need to Control others
Creative,Inhuman Psyche,Social dissatisfaction,Intolerance
Creative,Immoral/ Unethical,Rebellious,Political beliefs
Well trained,Coercive,Brain-washed,Political support
Goal oriented,Insensitive,Misguided,Plain boredom
Resourceful,Control freak,Misguided,"Concealed
existence"
Strategic planners,Vengeful,Low self-worth,Intolerance
Well trained,Conviction in Violence,Socially inept,No fear of punishment
Creative,"Psychologically
Deviant",Mass-destruction,Anger
Sharp (intelligent),Strong-willed,Misguided,No fear of punishment
Creative,Coercive,Rebellious,Lust
Resourceful,Impatient,Mass-destruction,"Greed (easy, quick money)"
Skilful,Identity crisis,Mass-destruction,Anger
Skilful,Vengeful,Anti-establishment,Emotions
Skilful,Identity crisis,Rebellious,Political support
Skilful,Incited,Unlawful,Political beliefs
Well trained,Impatient,Rebellious,Anger
Sharp (intelligent),Control freak,Unlawful,Emotions
Smart,Coward,Socially inept,Disregard for law
Well trained,Selfish,Rebellious,Need to Control others
Opportunists,Secretive,Anti-establishment,"Enhancing self-
worth"
Well trained,Determined,Anti-establishment,No fear of punishment
Bully,"Psychologically
Deviant",Brain-washed,Revenge
Focussed,Inhuman Psyche,Rationalization,Political support
Goal oriented,Selfish,"Insufficient social
support",No fear of punishment
Creative,Identity crisis,Mass-destruction,Political beliefs
Well-organized,Impatient,Need to outsmart others,Anger
Opportunists,"Psychologically
Deviant",Inferiority complex,"Religious
fundamentalism"
Goal oriented,Determined,Broken homes/families,"Enhancing self-
worth"
Strategic planners,Coercive,Unlawful,Political beliefs
Goal oriented,Strong-willed,Socially inept,Risk tolerance
Focussed,Aggressive,Brain-washed,Intolerance
Resourceful,Insensitive,Social dissatisfaction,Revenge
Sharp (intelligent),Identity crisis,Reinforcement available,Curiosity
Well trained,Vengeful,Lack Social skills,Political support
Well-organized,Insensitive,Broken homes/families,Political beliefs
Well trained,Passionate,Misguided,Intolerance
Well-trained,Passionate,Marginalised,Political beliefs
Creative,"Psychologically
Deviant",Intolerance to diversity of opinion,"Enhancing self-
worth"
Resourceful,Psychiatric conditions,Reinforcement available,Disregard for law
Well-organized,Selfish,Anti-establishment,"Enhancing self-
worth"
Well-organized,Risk-taker,Intolerance to diversity of opinion,Curiosity
Smart,Conviction in Violence,Brain-washed,"Greed (easy, quick money)"
Well-trained,Emotional,Lack Social skills,Revenge
Sharp (intelligent),Identity crisis,Need to outsmart others,Curiosity
Resourceful,Emotional,Brain-washed,Emotions
Smart,Secretive,"Insufficient social
support",Risk tolerance
Opportunists,Determined,Rationalization,Emotions
Well trained,"Psychologically
Deviant",Anti-establishment,Thrill-seeking
Well-trained,Selfish,Anti-state,Monetary Gain
Bully,Vengeful,Rationalization,Political beliefs
Resourceful,Insensitive,Low self-worth,"Enhancing self-
worth"
Creative,Gullible,Misguided,Anger
Well-organized,Risk-taker,Rationalization,Political support
Well-organized,Coercive,Anti-establishment,Experimentation
Strategic planners,Insensitive,Anti-state,Political support
Well-organized,Gullible,Reinforcement available,Thrill-seeking
Resourceful,Vengeful,Misguided,Manipulate others
Well-organized,Selfish,Brain-washed,Need to Control others
Well-networked,Secretive,Marginalised,Anger
Well-trained,Control freak,Inferiority complex,Risk tolerance
Smart,Identity crisis,Inferiority complex,Political beliefs
Bully,Chaotic state of mind,Anti-social,Emotions
Skilful,Incited,Radical,Disregard for law
Well-networked,Secretive,Rebellious,No fear of punishment
Focussed,Identity crisis,Radical,Political beliefs
Skilful,Insensitive,Anti-establishment,Anger
Well-networked,Coward,Marginalised,Revenge
Well-organized,Determined,Social dissatisfaction,Political beliefs
Goal oriented,Passionate,Mass-destruction,Political beliefs
Sharp (intelligent),Vengeful,Marginalised,Risk tolerance
Well-trained,Conviction in Violence,Socially inept,Manipulate others
Smart,Chaotic state of mind,Marginalised,"Concealed
existence"
Opportunists,Risk-taker,Rebellious,Plain boredom
Creative,Risk-taker,Low self-worth,Risk tolerance
Creative,Selfish,"Insufficient social
support","Religious
fundamentalism"
Well trained,Vengeful,Low self-worth,Need to Control others
Well-networked,Gullible,Broken homes/families,Intolerance
Bully,Selfish,Intolerance to diversity of opinion,Political beliefs
Well trained,Chaotic state of mind,Low self-worth,Thrill-seeking
Well-organized,Determined,Anti-social,Need to Control others
Goal oriented,Conviction in Violence,Radical,Revenge
Bully,Aggressive,Social dissatisfaction,"Enhancing self-
worth"
Well-organized,Gullible,Anti-social,Political support
Goal oriented,Coercive,Mass-destruction,Lust
Well trained,Passionate,Misguided,"Concealed
existence"
Well-networked,Immoral/ Unethical,Need to outsmart others,Curiosity
Focussed,Coward,Intolerance to diversity of opinion,"Religious
fundamentalism"
Smart,Loner,Social dissatisfaction,Anger
Focussed,Aggressive,Anti-state,Risk tolerance
Goal oriented,"Psychologically
Deviant",Unlawful,Anger
Creative,Identity crisis,Anti-establishment,Need to Control others
Well-networked,Impatient,Social dissatisfaction,Emotions
Goal oriented,Risk-taker,Brain-washed,Political support
Creative,Chaotic state of mind,Rationalization,Revenge
Smart,Coercive,Misguided,Monetary Gain
Resourceful,Control freak,Radical,Disregard for law
Smart,Inhuman Psyche,"Insufficient social
support",Disregard for law
Well trained,Aggressive,Inferiority complex,Need to Control others
Bully,Risk-taker,Brain-washed,"Religious
fundamentalism"
Strategic planners,Incited,Rationalization,Political beliefs
Well-networked,"Psychologically
Deviant",Inferiority complex,Intolerance
Focussed,Psychiatric conditions,Marginalised,Political support
Well-trained,Risk-taker,Anti-social,Monetary Gain
Opportunists,Incited,Lack Social skills,Plain boredom
Well-organized,Vengeful,Need to outsmart others,Manipulate others
Bully,Immoral/ Unethical,Anti-establishment,Revenge
Skilful,Control freak,Anti-social,Emotions
Opportunists,Psychiatric conditions,Low self-worth,Manipulate others
Bully,Insensitive,Mass-destruction,Disregard for law
Goal oriented,Determined,Low self-worth,Manipulate others
Strategic planners,Vengeful,Mass-destruction,Disregard for law
Bully,Inhuman Psyche,Broken homes/families,Thrill-seeking
Opportunists,Gullible,"Insufficient social
support",Experimentation
Focussed,Impatient,Anti-state,Manipulate others
Bully,Identity crisis,Intolerance to diversity of opinion,Thrill-seeking
Creative,Vengeful,Social dissatisfaction,Lust
Skilful,Chaotic state of mind,Broken homes/families,"Concealed
existence"
Well-trained,Secretive,Need to outsmart others,Manipulate others
Well-networked,Psychiatric conditions,Anti-social,Risk tolerance
Well trained,Secretive,Brain-washed,Monetary Gain
Creative,Passionate,Inferiority complex,"Religious
fundamentalism"
Creative,Selfish,Lack Social skills,"Enhancing self-
worth"
Strategic planners,Emotional,Unlawful,Manipulate others
Skilful,Incited,"Insufficient social
support",Need to Control others
Skilful,Chaotic state of mind,Brain-washed,Emotions
Creative,Loner,Broken homes/families,Monetary Gain
Well-trained,Identity crisis,Radical,Anger
Focussed,Insensitive,Inferiority complex,Need to Control others
Well-trained,Conviction in Violence,Reinforcement available,Risk tolerance
Well trained,Psychiatric conditions,Inferiority complex,"Greed (easy, quick money)"
Focussed,Impatient,Unlawful,Need to Control others
Skilful,Inhuman Psyche,Reinforcement available,Intolerance
Well-networked,Immoral/ Unethical,Mass-destruction,"Greed (easy, quick money)"
Resourceful,Control freak,Anti-establishment,Thrill-seeking
Well-organized,Coward,Intolerance to diversity of opinion,Plain boredom
Creative,Psychiatric conditions,Anti-social,Need to Control others
Smart,Chaotic state of mind,Rebellious,Need to Control others
Smart,Passionate,"Insufficient social
support",Risk tolerance
Smart,Inhuman Psyche,Rebellious,Intolerance
Well-networked,Aggressive,Lack Social skills,Monetary Gain
Creative,Strong-willed,Reinforcement available,Risk tolerance
Well-trained,Psychiatric conditions,Reinforcement available,Plain boredom
Goal oriented,Incited,Inferiority complex,Monetary Gain
Strategic planners,Strong-willed,Anti-social,Intolerance
Well-networked,Passionate,"Insufficient social
support",Curiosity
Skilful,Insensitive,Inferiority complex,"Greed (easy, quick money)"
Sharp (intelligent),Conviction in Violence,Rebellious,Curiosity
Goal oriented,Determined,Lack Social skills,Revenge
Focussed,Emotional,Inferiority complex,Emotions
Creative,Coercive,Inferiority complex,Need to Control others
Bully,"Psychologically
Deviant",Mass-destruction,Lust
Resourceful,Selfish,Low self-worth,Intolerance
Well-trained,Determined,Brain-washed,Need to Control others
Well-networked,Determined,"Insufficient social
support",Risk tolerance
Strategic planners,Conviction in Violence,Rationalization,"Enhancing self-
worth"
Resourceful,Selfish,Intolerance to diversity of opinion,Curiosity
Bully,Determined,Anti-establishment,Plain boredom
Resourceful,Loner,Rebellious,Emotions
